strategy,params,total_return,sharpe,trades,win_rate
RSI,"(21, 20, 80)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(21, 25, 80)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(21, 30, 80)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(21, 35, 80)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(30, 15, 75)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(30, 20, 75)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(30, 25, 75)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(30, 30, 75)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(30, 35, 75)",0.41463957872631524,658219925.4206508,1,1.0
RSI,"(21, 15, 80)",0.37137992405898845,589547352.5892822,1,1.0
RSI,"(18, 15, 80)",0.20517563604988423,325706224.8464955,1,1.0
RSI,"(18, 20, 80)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(18, 25, 80)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(18, 30, 80)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(18, 35, 80)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(25, 15, 75)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(25, 20, 75)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(25, 25, 75)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(25, 30, 75)",0.20441637367357635,324500933.18996036,1,1.0
RSI,"(25, 35, 75)",0.20441637367357635,324500933.18996036,1,1.0
MA,"(15, 90)",0.19563755595545324,310564992.09756756,1,1.0
RSI,"(14, 25, 80)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(21, 20, 75)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(21, 25, 75)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(21, 30, 75)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(30, 15, 70)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(30, 20, 70)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(30, 25, 70)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(30, 30, 70)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(30, 35, 70)",0.1495267034697805,237366283.04660282,1,1.0
RSI,"(14, 20, 80)",0.1143741960956079,181563407.5631479,1,1.0
RSI,"(21, 15, 75)",0.1143741960956079,181563407.5631479,1,1.0
MA,"(10, 100)",0.10968133066661113,174113714.6462972,1,1.0
MA,"(15, 100)",0.0983883765784133,156186705.7955122,1,1.0
RSI,"(18, 15, 75)",0.09596067331662879,152332846.3428669,1,1.0
RSI,"(18, 20, 75)",0.09527021652321921,151236780.16302878,1,1.0
RSI,"(18, 25, 75)",0.09527021652321921,151236780.16302878,1,1.0
RSI,"(18, 30, 75)",0.09527021652321921,151236780.16302878,1,1.0
RSI,"(25, 15, 70)",0.09527021652321921,151236780.16302878,1,1.0
RSI,"(25, 20, 70)",0.09527021652321921,151236780.16302878,1,1.0
RSI,"(25, 25, 70)",0.09527021652321921,151236780.16302878,1,1.0
RSI,"(25, 30, 70)",0.09527021652321921,151236780.16302878,1,1.0
RSI,"(25, 35, 70)",0.09527021652321921,151236780.16302878,1,1.0
MA,"(20, 100)",0.08768978849485727,139203223.72634718,1,1.0
MA,"(25, 100)",0.08768978849485727,139203223.72634718,1,1.0
MA,"(30, 100)",0.08768978849485727,139203223.72634718,1,1.0
RSI,"(10, 20, 80)",0.04924113382597818,78167876.62703325,1,1.0
RSI,"(18, 15, 70)",0.04924113382597818,78167876.62703325,1,1.0
RSI,"(14, 25, 75)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(18, 20, 70)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(18, 25, 70)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(18, 30, 70)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(21, 20, 70)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(21, 25, 70)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(21, 30, 70)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(25, 15, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(25, 20, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(25, 25, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(25, 30, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(25, 35, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(30, 15, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(30, 20, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(30, 25, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(30, 30, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(30, 35, 65)",0.04858011040934175,77118534.48430711,1,1.0
RSI,"(14, 20, 75)",0.016514548163319397,26216032.472844973,1,1.0
RSI,"(21, 15, 70)",0.016514548163319397,26216032.472844973,1,1.0
RSI,"(10, 20, 75)",0.011363093665131052,18038351.977362134,1,1.0
RSI,"(14, 25, 70)",0.010725933468030548,17026891.521260038,1,1.0
RSI,"(21, 20, 65)",0.010725933468030548,17026891.521260038,1,1.0
RSI,"(21, 25, 65)",0.010725933468030548,17026891.521260038,1,1.0
RSI,"(21, 30, 65)",0.010725933468030548,17026891.521260038,1,1.0
RSI,"(14, 35, 80)",0.30927267318155394,480.4201944265974,2,1.0
RSI,"(10, 30, 80)",0.1848580921023131,74.36498647174147,3,1.0
RSI,"(14, 35, 75)",0.1848580921023131,74.36498647174147,3,1.0
RSI,"(18, 35, 70)",0.12820883537270283,65.55045640166125,2,1.0
RSI,"(18, 35, 75)",0.2550161862349926,62.787249446466376,2,1.0
RSI,"(14, 30, 80)",0.40031700905460654,62.7553644295516,2,1.0
RSI,"(21, 35, 75)",0.4498428257037109,47.35765007018074,2,1.0
RSI,"(10, 35, 80)",0.3159532042907133,47.19981829705447,4,1.0
MA,"(25, 80)",0.36743907119830727,42.69176207738364,2,1.0
RSI,"(10, 35, 75)",0.20345246195520272,34.150947203339264,4,1.0
RSI,"(10, 25, 80)",0.15279252985629074,30.99892918342592,3,1.0
RSI,"(10, 30, 75)",0.11329604999246254,30.56365700871502,3,1.0
RSI,"(14, 35, 70)",0.11329604999246254,30.56365700871502,3,1.0
RSI,"(14, 30, 75)",0.2129636720531773,29.193369172995478,2,1.0
RSI,"(21, 35, 70)",0.2129636720531773,29.193369172995478,2,1.0
MA,"(15, 70)",0.33897654375732555,26.196616193653146,3,1.0
MA,"(30, 80)",0.21812418454984683,23.533337420920176,2,1.0
MA,"(30, 70)",0.25807055371639753,23.499781455690957,3,1.0
MA,"(10, 70)",0.5812734275958585,19.98446027893522,4,1.0
RSI,"(14, 30, 70)",0.13875543820986397,18.777552088965365,2,1.0
MA,"(20, 70)",0.26695012466010687,18.149189165458548,3,1.0
MA,"(30, 60)",0.48101591807633914,18.122482887707292,4,0.75
RSI,"(21, 35, 65)",0.1751094951118661,18.09071719262572,2,1.0
MA,"(5, 100)",0.21923919420783872,17.997088433001803,4,0.75
MA,"(25, 60)",0.45385833837757583,16.4926723296655,4,0.75
MA,"(25, 90)",0.19202097871648394,16.23762687835826,2,1.0
MA,"(25, 70)",0.23344236743136967,15.152543234433137,3,0.6666666666666666
MA,"(30, 90)",0.24260819661560942,13.329553355038083,2,0.5
MA,"(15, 60)",0.41409622216616304,13.228956289891064,5,0.8
MA,"(20, 60)",0.42077183148112707,13.198650848859842,5,0.8
MA,"(5, 90)",0.2977059246918814,13.024982834640737,5,0.6
RSI,"(10, 25, 75)",0.08238806784445454,12.83228134269121,3,0.6666666666666666
MA,"(20, 90)",0.1705628439058568,12.559085486115741,2,0.5
RSI,"(18, 35, 65)",0.03708811244766863,10.75281334829842,2,0.5
MA,"(10, 90)",0.20834182952487781,10.512807642751527,4,0.75
MA,"(10, 30)",0.6712451772929794,10.180592447388152,8,0.625
MA,"(10, 60)",0.41792671831970557,9.343772837448373,6,0.6666666666666666
MA,"(30, 50)",0.4219538852547574,8.996605769395822,6,0.6666666666666666
MA,"(20, 80)",0.20722361272186068,8.94493320461038,3,0.6666666666666666
MA,"(5, 70)",0.5153820553125708,8.048505218326735,9,0.4444444444444444
MA,"(5, 60)",0.5221176318232542,7.590341436856367,9,0.5555555555555556
MA,"(20, 40)",0.32634316577380573,7.1953876865738815,7,0.7142857142857143
MA,"(15, 80)",0.17713298036754727,7.163822694302545,4,0.75
MA,"(25, 50)",0.34601801633974183,6.815891136476823,6,0.5
MA,"(15, 50)",0.3800089689030833,6.77740240161743,7,0.5714285714285714
MA,"(10, 50)",0.4110291503841628,6.703183517229049,7,0.5714285714285714
MA,"(5, 30)",0.5754892555727534,6.6649398593363545,11,0.45454545454545453
MA,"(10, 40)",0.47495505716392583,6.65886295602489,8,0.625
MA,"(10, 80)",0.20771637863269987,6.54264751651249,5,0.6
MA,"(5, 80)",0.4942948030061739,6.464603862864101,9,0.4444444444444444
MA,"(30, 40)",0.47641263608875095,6.227964518856681,8,0.625
MA,"(20, 30)",0.3559499739031015,5.407871376643466,9,0.5555555555555556
MA,"(15, 40)",0.2722106602265486,5.181133634398931,7,0.5714285714285714
MA,"(15, 30)",0.3158994376168155,5.027008926310601,9,0.4444444444444444
MA,"(5, 50)",0.38130164818114376,4.9191990656295665,12,0.4166666666666667
MA,"(20, 50)",0.273931912640598,4.840355970898423,8,0.5
MA,"(25, 40)",0.26579872458249165,4.127818843414994,9,0.5555555555555556
MA,"(25, 30)",0.28163162586682294,3.797853452230931,10,0.4
RSI,"(14, 30, 65)",0.02316450877267632,3.4545822746980996,2,0.5
MA,"(5, 40)",0.28551141557072623,3.395236934140419,13,0.38461538461538464
RSI,"(10, 35, 70)",-0.0014246372610511229,-0.17490817897550903,4,0.5
RSI,"(14, 35, 65)",-0.006732581874834033,-0.9582166593192859,3,0.3333333333333333
RSI,"(5, 25, 80)",-0.021351075983772148,-2.1303771198372536,6,0.5
RSI,"(10, 35, 65)",-0.03461744886757861,-2.2777231287214903,5,0.4
RSI,"(5, 20, 80)",-0.03408963008496884,-5.425188561044721,4,0.25
RSI,"(5, 35, 80)",-0.12562984375534886,-6.47738060255782,7,0.2857142857142857
RSI,"(5, 25, 75)",-0.14738997949524607,-6.615053372402026,7,0.2857142857142857
RSI,"(5, 25, 65)",-0.20059863136930128,-6.8453755130351235,11,0.45454545454545453
RSI,"(5, 25, 70)",-0.20092667624882454,-7.691468615719604,10,0.3
RSI,"(5, 30, 75)",-0.23352603588012164,-8.875232702784807,8,0.375
RSI,"(5, 30, 80)",-0.11633995854854891,-9.353901933292281,6,0.3333333333333333
RSI,"(5, 30, 70)",-0.2978498405938403,-9.714660019039043,11,0.36363636363636365
RSI,"(5, 20, 70)",-0.16231608739973077,-9.82326223823817,6,0.3333333333333333
RSI,"(5, 20, 75)",-0.13820349809283655,-10.018908437950662,4,0.25
RSI,"(5, 30, 65)",-0.3376364279930831,-10.963194675354297,12,0.25
RSI,"(5, 20, 65)",-0.18878231583544466,-11.076427415103892,6,0.3333333333333333
RSI,"(5, 35, 75)",-0.32544748985648886,-11.35413711256559,9,0.3333333333333333
RSI,"(5, 35, 70)",-0.43048474669730974,-11.949842041015135,13,0.3076923076923077
RSI,"(5, 35, 65)",-0.46969284883175877,-12.702176696391904,14,0.2857142857142857
RSI,"(10, 25, 65)",-0.14515858993061548,-15.729824730388469,3,0.0
RSI,"(10, 30, 65)",-0.11731828747750508,-17.38391537776367,3,0.0
RSI,"(5, 15, 70)",-0.18442519129848559,-17.815077662544212,4,0.25
RSI,"(10, 25, 70)",-0.09867479448399165,-19.391525378739455,3,0.0
RSI,"(5, 15, 65)",-0.2108914197341995,-20.894831575043952,4,0.25
RSI,"(10, 30, 70)",-0.06936817849998471,-27.959305952008222,3,0.0
RSI,"(5, 15, 75)",-0.18385567200588007,-28.85179881946462,3,0.0
RSI,"(5, 15, 80)",-0.06669832573714275,-40.1542051727154,3,0.0
RSI,"(18, 15, 65)",-0.008207916914740102,-13029664.162969714,1,0.0
RSI,"(18, 20, 65)",-0.008832747347153095,-14021551.724419551,1,0.0
RSI,"(18, 25, 65)",-0.008832747347153095,-14021551.724419551,1,0.0
RSI,"(18, 30, 65)",-0.008832747347153095,-14021551.724419551,1,0.0
RSI,"(14, 20, 70)",-0.02018204867997744,-32038009.05301182,1,0.0
RSI,"(21, 15, 65)",-0.02018204867997744,-32038009.05301182,1,0.0
RSI,"(10, 20, 70)",-0.041036400742469475,-65143266.63945634,1,0.0
RSI,"(14, 25, 65)",-0.04164054918306647,-66102322.55672861,1,0.0
RSI,"(14, 20, 65)",-0.0709471651670734,-112625133.15426031,1,0.0
RSI,"(10, 20, 65)",-0.08901673740078388,-141309689.8108898,1,0.0
