strategy,period,oversold,overbought,total_return,sharpe_ratio,max_drawdown,win_rate,trades_count,annual_return,volatility,sortino_ratio,calculation_time,short_period,long_period,fast,slow,signal
RSI_MEAN_REVERSION,18.0,25.0,70.0,0.3817398024043952,0.5930067944393396,-0.08956082644313018,0.6486486486486487,37,0.08785244767662793,0.08025629934075783,34.81264657518801,0.00045299530029296875,,,,,
RSI_MEAN_REVERSION,21.0,35.0,70.0,0.4131175692910214,0.5758231312314609,-0.10311175201010112,0.6346153846153846,52,0.095073632384783,0.09366336972527763,22.33551743673623,0.00044989585876464844,,,,,
RSI_MEAN_REVERSION,18.0,35.0,70.0,0.387939769844031,0.5096602560030319,-0.09118549364828893,0.6129032258064516,62,0.08927928949835234,0.0986256477783852,23.08995754619769,0.0004467964172363281,,,,,
RSI_MEAN_REVERSION,35.0,40.0,70.0,0.31349565294202253,0.4879131414353056,-0.06899776448140975,0.6538461538461539,26,0.07214694478665724,0.07244823543453738,21.20749554729395,0.0004405975341796875,,,,,
RSI_MEAN_REVERSION,28.0,25.0,65.0,0.30538777022342845,0.4578893125899388,-0.08666216230283691,0.59375,32,0.07028102109251504,0.0744032474650894,38.198353679399844,0.00044536590576171875,,,,,
RSI_MEAN_REVERSION,21.0,35.0,80.0,0.29895571571829804,0.4467653914717924,-0.0916678539075543,0.5789473684210527,38,0.06880076745297818,0.07357175516326567,22.798637707278093,0.0004417896270751953,,,,,
RSI_MEAN_REVERSION,18.0,25.0,75.0,0.26588211208273194,0.44429499949580264,-0.08005644436099328,0.7307692307692307,26,0.06118930798616297,0.0584206323478357,26.048397628601062,0.0004906654357910156,,,,,
RSI_MEAN_REVERSION,28.0,30.0,65.0,0.29153489506260066,0.41388444405666464,-0.08666216230283688,0.5641025641025641,39,0.06709296215139303,0.07682469872809962,36.13305361248985,0.00044536590576171875,,,,,
RSI_MEAN_REVERSION,28.0,15.0,65.0,0.28042249724694845,0.4006822953689085,-0.08666216230283688,0.5806451612903226,31,0.0645355884075169,0.07382735396473589,38.822735207193716,0.0004999637603759766,,,,,
RSI_MEAN_REVERSION,28.0,20.0,65.0,0.28042249724694845,0.4006822953689085,-0.08666216230283688,0.5806451612903226,31,0.0645355884075169,0.07382735396473589,38.822735207193716,0.0004477500915527344,,,,,
DUAL_MOVING_AVERAGE,,,,0.25187208912908865,0.39805775244826874,-0.060019291203944614,0.6521739130434783,23,,,,,10.0,70.0,,,
DUAL_MOVING_AVERAGE,,,,0.22835023673421273,0.3925886239068417,-0.021515623602636282,0.75,12,,,,,40.0,70.0,,,
RSI_MEAN_REVERSION,35.0,40.0,65.0,0.29088309192364803,0.3796364431146459,-0.08450887389471394,0.575,40,0.06694295814133269,0.08522963381353876,25.37695208939374,0.00045609474182128906,,,,,
DUAL_MOVING_AVERAGE,,,,0.2031759211801738,0.36855945357396747,-0.01711016150540106,0.7333333333333333,15,,,,,8.0,80.0,,,
RSI_MEAN_REVERSION,15.0,30.0,80.0,0.25541925622576733,0.36612917668409195,-0.08486172178361408,0.7073170731707317,41,0.05878141787113549,0.0672073887456873,18.966167835861707,0.00044727325439453125,,,,,
RSI_MEAN_REVERSION,18.0,35.0,75.0,0.27156221760164034,0.34977567997205916,-0.12847458227719882,0.6470588235294118,51,0.06249651035215833,0.08184970696471196,18.176854529836213,0.0004494190216064453,,,,,
RSI_MEAN_REVERSION,40.0,35.0,70.0,0.2449979084488656,0.3402326300260747,-0.06761026593621135,0.6428571428571429,14,0.05638308030056085,0.0663296602238648,42.176161706061855,0.00044608116149902344,,,,,
RSI_MEAN_REVERSION,30.0,40.0,70.0,0.257819750795391,0.3307458165181558,-0.09819445926935705,0.5757575757575758,33,0.059333860457021485,0.07791602160640919,25.74350677144257,0.0004534721374511719,,,,,
RSI_MEAN_REVERSION,15.0,30.0,70.0,0.2588736864655956,0.32773693245895097,-0.10467751173110798,0.6923076923076923,52,0.05957641003591789,0.07987358430575772,17.1381030811286,0.0004582405090332031,,,,,
RSI_MEAN_REVERSION,18.0,15.0,70.0,0.24589449016772225,0.3265315431641741,-0.10189866463525984,0.6071428571428571,28,0.05658941691531142,0.07059399040988591,33.87741111327985,0.0004429817199707031,,,,,
RSI_MEAN_REVERSION,40.0,35.0,75.0,0.22371504512344642,0.3264311618144135,-0.03248780935010135,0.7,10,0.051485106274984926,0.05487834851557419,70.05553407493244,0.00044655799865722656,,,,,
RSI_MEAN_REVERSION,30.0,40.0,65.0,0.2619640898211797,0.3223709684188825,-0.17300990580343054,0.5652173913043478,46,0.06028762615062765,0.08382125180660226,23.488410112128836,0.0004506111145019531,,,,,
RSI_MEAN_REVERSION,21.0,35.0,65.0,0.2876103799870746,0.32075826761970444,-0.10671522286120501,0.578125,64,0.06618978607921717,0.1049657660944158,19.76557258528554,0.0004451274871826172,,,,,
RSI_MEAN_REVERSION,50.0,35.0,70.0,0.21531938702776698,0.31518826090915303,-0.04937670787124209,0.6923076923076923,13,0.049552954822828565,0.0513243105459999,34.326519209519134,0.0004401206970214844,,,,,
RSI_MEAN_REVERSION,21.0,40.0,70.0,0.26670322519236356,0.30100866628764256,-0.12546356023605565,0.5714285714285714,56,0.061378276482626136,0.09642362821935037,22.67847379666052,0.0004451274871826172,,,,,
RSI_MEAN_REVERSION,18.0,30.0,70.0,0.25321198379039833,0.2958224756212975,-0.1462188601922589,0.6046511627906976,43,0.058273442844913585,0.08683952275992697,24.927113851999227,0.0004458427429199219,,,,,
RSI_MEAN_REVERSION,18.0,20.0,70.0,0.23202802318467963,0.2891011013954431,-0.11234113391794494,0.6129032258064516,31,0.053398229993186545,0.07089754085495038,31.63390725682517,0.0004436969757080078,,,,,
RSI_MEAN_REVERSION,25.0,35.0,70.0,0.24647962804185397,0.27872500078255014,-0.10740018647225591,0.5454545454545454,44,0.056724078782234885,0.08814903616291536,27.630279417490488,0.0005609989166259766,,,,,
DUAL_MOVING_AVERAGE,,,,0.2187038764492193,0.26380145717680775,-0.07781596285095842,0.6451612903225806,31,,,,,15.0,45.0,,,
RSI_MEAN_REVERSION,20.0,35.0,70.0,0.23044638769001158,0.2541883705015431,-0.11942455327641639,0.5660377358490566,53,0.053034237167016364,0.08336040227339313,27.554821133473403,0.0004591941833496094,,,,,
RSI_MEAN_REVERSION,50.0,35.0,60.0,0.21540418156929753,0.25204963422472393,-0.09322278508245162,0.5714285714285714,35,0.04957246918307121,0.06828283517907631,28.60261624620205,0.00044155120849609375,,,,,
MACD_CROSSOVER,,,,0.25566711762488903,0.24941072630127467,-0.14587109483435656,0.5,80,,,,,,,8.0,30.0,12.0
MACD_CROSSOVER,,,,0.25566711762488903,0.24941072630127467,-0.14587109483435656,0.5,80,,,,,,,12.0,30.0,8.0
RSI_MEAN_REVERSION,14.0,30.0,70.0,0.24156612373524777,0.24795260613412046,-0.1382695240024534,0.6896551724137931,58,0.05559329970893374,0.10022308882493032,16.960816971728654,0.00045180320739746094,,,,,
RSI_MEAN_REVERSION,15.0,15.0,80.0,0.18887342184699984,0.2475926751971157,-0.05614491800112549,0.75,20,0.04346676009629585,0.04341158653036689,24.275574164033433,0.00045013427734375,,,,,
MACD_CROSSOVER,,,,0.23871325072741434,0.24224581537716716,-0.10293435673771412,0.5,82,,,,,,,15.0,35.0,6.0
RSI_MEAN_REVERSION,25.0,25.0,70.0,0.2133360944268261,0.24142187475756816,-0.1074001864722559,0.6551724137931034,29,0.049096525840694225,0.07023580059055604,20.64380954406549,0.00046181678771972656,,,,,
DUAL_MOVING_AVERAGE,,,,0.20616228331194209,0.22943757450151092,-0.14488546632058702,0.6046511627906976,43,,,,,5.0,45.0,,,
RSI_MEAN_REVERSION,14.0,30.0,65.0,0.2362912378192401,0.22942381671348128,-0.1383775139742939,0.6025641025641025,78,0.054379353361140186,0.10691077541296845,23.256158986896875,0.00045752525329589844,,,,,
RSI_MEAN_REVERSION,18.0,25.0,65.0,0.2214173608412633,0.2265170195123174,-0.08287217326311606,0.5882352941176471,51,0.05095632413881128,0.08768450335194641,26.395923127698065,0.0004432201385498047,,,,,
RSI_MEAN_REVERSION,20.0,30.0,70.0,0.20938582817806828,0.2179602685304235,-0.0829234662531975,0.6216216216216216,37,0.04818742347111708,0.07651609752265913,24.08537060556444,0.0004985332489013672,,,,,
RSI_MEAN_REVERSION,28.0,35.0,65.0,0.21168635793354285,0.21586708298451626,-0.0986757854839035,0.5609756097560976,41,0.04871686045593863,0.08072617664517784,28.316485235525008,0.0004863739013671875,,,,,
RSI_MEAN_REVERSION,18.0,35.0,65.0,0.22689794977287447,0.2151070477888697,-0.14278212854726574,0.5789473684210527,76,0.052217610358688916,0.10476213902758288,21.116295236874056,0.000453948974609375,,,,,
MACD_CROSSOVER,,,,0.22260891788787274,0.2072830299423596,-0.12007325706685675,0.5375,80,,,,,,,20.0,26.0,6.0
RSI_MEAN_REVERSION,20.0,40.0,70.0,0.20889340495539943,0.20542834462576087,-0.07774428950725278,0.559322033898305,59,0.04807409867466727,0.08327363092680998,24.23716849108267,0.00045490264892578125,,,,,
RSI_MEAN_REVERSION,10.0,30.0,65.0,0.23198814196640183,0.20494415444689526,-0.20469273515360956,0.5904761904761905,105,0.05338905184980206,0.1275943633626433,17.59255627284205,0.0005137920379638672,,,,,
RSI_MEAN_REVERSION,30.0,30.0,70.0,0.1982044128017877,0.20447801748572925,-0.07232409341688563,0.625,24,0.04561416623383607,0.06796763631564359,29.950858495563807,0.00044727325439453125,,,,,
RSI_MEAN_REVERSION,30.0,30.0,65.0,0.2021523276804542,0.20289417768656356,-0.17473882746248184,0.5945945945945946,37,0.04652272746618672,0.0746646731447158,25.171167733035148,0.00045800209045410156,,,,,
RSI_MEAN_REVERSION,15.0,15.0,70.0,0.19214474358226008,0.20123564287229523,-0.05740701042541135,0.7096774193548387,31,0.04421961222167081,0.06121842166771001,16.301450442566498,0.0004544258117675781,,,,,
MACD_CROSSOVER,,,,0.21946188928592147,0.19916871465706462,-0.12007325706685677,0.5121951219512195,82,,,,,,,20.0,24.0,6.0
RSI_MEAN_REVERSION,25.0,15.0,70.0,0.19740130581247795,0.1983511207321786,-0.10740018647225581,0.6296296296296297,27,0.04542934161163876,0.07009689435123334,22.35272214500889,0.00045180320739746094,,,,,
RSI_MEAN_REVERSION,25.0,20.0,70.0,0.19740130581247795,0.1983511207321786,-0.10740018647225581,0.6296296296296297,27,0.04542934161163876,0.07009689435123334,22.35272214500889,0.0004448890686035156,,,,,
MACD_CROSSOVER,,,,0.22509285152357972,0.19556095024411932,-0.1353705392987621,0.49019607843137253,102,,,,,,,5.0,45.0,10.0
MACD_CROSSOVER,,,,0.22509285152357972,0.19556095024411932,-0.1353705392987621,0.49019607843137253,102,,,,,,,10.0,45.0,5.0
MACD_CROSSOVER,,,,0.2132724406018529,0.18270609178240974,-0.10293435673771394,0.4880952380952381,84,,,,,,,15.0,30.0,6.0
MACD_CROSSOVER,,,,0.20772136150764298,0.18082081800660235,-0.09136384851631094,0.4875,80,,,,,,,18.0,26.0,6.0
RSI_MEAN_REVERSION,35.0,35.0,70.0,0.18017544737586988,0.1788006761926894,-0.06899776448140958,0.55,20,0.04146503446458375,0.053248770763317466,40.774975246789865,0.0004572868347167969,,,,,
RSI_MEAN_REVERSION,10.0,30.0,70.0,0.20791024689603566,0.1770826208058691,-0.11637735112845643,0.5930232558139535,86,0.04784783764182738,0.11081134229726099,18.37123190984221,0.0004589557647705078,,,,,
DUAL_MOVING_AVERAGE,,,,0.1747868319346697,0.1710319488379459,-0.04079797088156917,0.5882352941176471,17,,,,,20.0,70.0,,,
RSI_MEAN_REVERSION,40.0,35.0,65.0,0.1883605838596376,0.16999150605248015,-0.10366952747842889,0.6333333333333333,30,0.04334873710742345,0.07220873498464768,30.007035492794103,0.00044989585876464844,,,,,
RSI_MEAN_REVERSION,7.0,35.0,75.0,0.2080541599983332,0.16902151520266237,-0.14186507799244136,0.5602836879432624,141,0.04788095736947942,0.12965266149017218,18.387503226608874,0.00044846534729003906,,,,,
RSI_MEAN_REVERSION,10.0,25.0,65.0,0.2056805535366033,0.16701807188419998,-0.19030520687306568,0.5714285714285714,91,0.04733470273171145,0.12385811372160041,22.317581856343057,0.00045943260192871094,,,,,
MACD_CROSSOVER,,,,0.197569501051857,0.16397493638718305,-0.09141355654153234,0.5,84,,,,,,,20.0,30.0,5.0
RSI_MEAN_REVERSION,7.0,40.0,75.0,0.20627373435767615,0.1635187124334984,-0.26938188326955936,0.5333333333333333,150,0.047471215578204926,0.14312698766765403,19.47099494138441,0.0005655288696289062,,,,,
RSI_MEAN_REVERSION,15.0,40.0,80.0,0.19184702531258013,0.16091397377206984,-0.09866193343312807,0.5901639344262295,61,0.04415109623631981,0.08940975670636488,17.681403481078718,0.00044918060302734375,,,,,
RSI_MEAN_REVERSION,15.0,40.0,70.0,0.19512652925922636,0.16073402914915894,-0.11711882599040434,0.5972222222222222,72,0.04490583139116442,0.09928337469304892,16.904779028829786,0.000453948974609375,,,,,
RSI_MEAN_REVERSION,50.0,35.0,65.0,0.17790998598080843,0.16011254253223994,-0.049088897588806024,0.6086956521739131,23,0.040943668006542214,0.05862295801176119,30.937804924130642,0.0004444122314453125,,,,,
RSI_MEAN_REVERSION,10.0,15.0,65.0,0.19833051626192777,0.15914729814297235,-0.21279219026719182,0.5555555555555556,81,0.04564318730411488,0.11325581809381763,21.275928953772173,0.0004627704620361328,,,,,
RSI_MEAN_REVERSION,30.0,25.0,65.0,0.18208215502110847,0.15841772162179515,-0.1747388274624818,0.6333333333333333,30,0.04190383841581674,0.06835148579533873,22.74662393371548,0.000446319580078125,,,,,
MACD_CROSSOVER,,,,0.1988629874198693,0.1580509865975988,-0.11891823007211809,0.5,88,,,,,,,20.0,24.0,5.0
